scope,feature_index,feature_name,rows,nonfinite,mean,std,min,max,zero_rate,constant_or_near_constant,missing_indicator_rate
34-1,0,resp_port_well_known,18751,0,0.635859420830889,0.4811883391890284,0.0,1.0,0.36414057916911097,False,
34-1,1,resp_port_registered,18751,0,0.3576875899952003,0.4793194946574005,0.0,1.0,0.6423124100047998,False,
34-1,2,resp_port_dynamic,18751,0,0.0064529891739107245,0.0800708942414915,0.0,1.0,0.9935470108260893,False,
34-1,3,orig_port_is_wellknown,18751,0,0.08788864593888326,0.28313288727011715,0.0,1.0,0.9121113540611168,False,
34-1,4,proto_icmp,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,5,proto_tcp,18751,0,0.9032584928803797,0.29560545989518655,0.0,1.0,0.09674150711962029,False,
34-1,6,proto_udp,18751,0,0.09674150711962029,0.29560545989518655,0.0,1.0,0.9032584928803797,False,
34-1,7,service_dns,18751,0,0.010239453895792224,0.10067078761839589,0.0,1.0,0.9897605461042078,False,
34-1,8,service_irc,18751,0,0.08751533251559916,0.28258874551241997,0.0,1.0,0.9124846674844008,False,
34-1,9,service_ssh,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,10,service_other,18751,0,0.9022452135886087,0.2969828078274139,0.0,1.0,0.09775478641139139,False,
34-1,11,conn_state_OTH,18751,0,0.5287184683483548,0.499174568238131,0.0,1.0,0.47128153165164527,False,
34-1,12,conn_state_REJ,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,13,conn_state_RSTO,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,14,conn_state_RSTOS0,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,15,conn_state_RSTR,18751,0,0.002826515919150979,0.053089798708506754,0.0,1.0,0.997173484080849,False,
34-1,16,conn_state_RSTRH,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,17,conn_state_S0,18751,0,0.3384886139405898,0.473195596105002,0.0,1.0,0.6615113860594102,False,
34-1,18,conn_state_S1,18751,0,0.000213321956162338,0.014603987465940839,0.0,1.0,0.9997866780438377,False,
34-1,19,conn_state_S2,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,20,conn_state_S3,18751,0,0.08447549464028585,0.2780995962700501,0.0,1.0,0.9155245053597142,False,
34-1,21,conn_state_SF,18751,0,0.045277585195456244,0.20791230236406033,0.0,1.0,0.9547224148045438,False,
34-1,22,conn_state_SH,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,23,conn_state_SHR,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,24,history_n_s,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,25,history_n_S,18751,0,0.37448669404298435,0.4839900929024691,0.0,1.0,0.6255133059570156,False,
34-1,26,history_n_h,18751,0,0.08815529838408619,0.28352061962209896,0.0,1.0,0.9118447016159138,False,
34-1,27,history_n_H,18751,0,0.0,0.0,0.0,0.0,1.0,True,
34-1,28,history_n_a,18751,0,0.08538211295397578,0.27944947260907527,0.0,1.0,0.9146178870460242,False,
34-1,29,history_n_A,18751,0,0.08820862887312676,0.2835980723937484,0.0,1.0,0.9117913711268733,False,
34-1,30,history_n_d,18751,0,0.13273958722201482,0.339293072735274,0.0,1.0,0.8672604127779852,False,
34-1,31,history_n_D,18751,0,0.18495013599274707,0.3882571096438691,0.0,1.0,0.815049864007253,False,
34-1,32,history_n_f,18751,0,0.08799530691696443,0.2832880740122211,0.0,1.0,0.9120046930830356,False,
34-1,33,history_n_F,18751,0,0.0006932963575275985,0.026321392396456488,0.0,1.0,0.9993067036424724,False,
34-1,34,history_n_r,18751,0,0.002826515919150979,0.053089798708506754,0.0,1.0,0.997173484080849,False,
34-1,35,history_n_R,18751,0,5.33304890405845e-05,0.007302577962577544,0.0,1.0,0.9999466695109595,False,
34-1,36,history_n_c,18751,0,0.0005866353794464295,0.02421345159984448,0.0,1.0,0.9994133646205535,False,
